Dauer [s], Verbrauch [g/s], Mode [0=Parking. 1=Driving]
1031,0.070992,1
177,0,0
381,0.15967,1
79,0,0
2393,0.17694,1
10441,0,0
3721,0.13306,1
482,0,0
718,0.16637,1
3.2293e+005,0,0
379,0.12445,1
3026,0,0
314,0.10998,1
720,0,0
464,0.23159,1
1.6568e+005,0,0
1094,0.14328,1
5414,0,0
2425,0.14778,1
145,0,0
356,0.11697,1
3941,0,0
622,0.070364,1
829,0,0
308,0.17955,1
75,0,0
694,0.17984,1
1279,0,0
435,0.11551,1
11282,0,0
1340,0.12739,1
9300,0,0
1200,0.15925,1
63562,0,0
1215,0.11912,1
4015,0,0
1529,0.13072,1
61268,0,0
749,0.12046,1
7178,0,0
861,0.15461,1
2.6224e+005,0,0
379,0.15197,1
3639,0,0
539,0.1574,1
2114,0,0
719,0.14917,1
67703,0,0
299,0.12171,1
784,0,0
267,0.12792,1
3920,0,0
441,0.16433,1
688,0,0
440,0.18457,1
8565,0,0
839,0.17782,1
619,0,0
396,0.10524,1
5962,0,0
821,0.14598,1
631,0,0
368,0.097552,1
71395,0,0
283,0.15532,1
672,0,0
327,0.16079,1
1.9096e+006,0,0
481,0.20065,1
1261,0,0
617,0.16387,1
291,0,0
249,0.12987,1
79815,0,0
392,0.14306,1
1535,0,0
403,0.12461,1
82236,0,0
612,0.15667,1
310,0,0
2454,0.20643,1
1748,0,0
250,0.20841,1
61777,0,0
2698,0.24097,1
249,0,0
302,0.17296,1
90641,0,0
234,0.13114,1
560,0,0
237,0.17813,1
230,0,0
294,0.11448,1
3417,0,0
324,0.19581,1
403,0,0
307,0.14577,1
5486,0,0
492,0.11979,1
2051,0,0
324,0.19807,1
69115,0,0
262,0.15084,1
358,0,0
158,0.18756,1
1138,0,0
423,0.10793,1
16248,0,0
360,0.15105,1
377,0,0
296,0.11102,1
1157,0,0
222,0.13324,1
112,0,0
302,0.13244,1
62311,0,0
1697,0.14797,1
2152,0,0
1539,0.16595,1
99012,0,0
232,0.12973,1
9903,0,0
247,0.19049,1
65130,0,0
408,0.13237,1
2730,0,0
387,0.19905,1
82212,0,0
328,0.18631,1
1386,0,0
357,0.11141,1
98908,0,0
497,0.17946,1
1643,0,0
427,0.16132,1
64637,0,0
2363,0.18722,1
15377,0,0
2139,0.24106,1
879,0,0
331,0.2065,1
2.4695e+005,0,0
660,0.14924,1
5508,0,0
515,0.10826,1
919,0,0
541,0.060283,1
2073,0,0
335,0.20282,1
4.31e+005,0,0
272,0.16115,1
220,0,0
247,0.17457,1
756,0,0
455,0.093475,1
82070,0,0
153,0.1601,1
195,0,0
2592,0.2211,1
68616,0,0
425,0.13805,1
846,0,0
895,0.19882,1
13200,0,0
848,0.16505,1
4895,0,0
2793,0.24117,1
66589,0,0
999,0.15772,1
2598,0,0
737,0.14669,1
1211,0,0
543,0.12734,1
87,0,0
355,0.13914,1
1.6808e+005,0,0
1276,0.10981,1
6019,0,0
1233,0.19755,1
681,0,0
441,0.20137,1
2.486e+005,0,0
517,0.14568,1
518,0,0
469,0.11386,1
2512,0,0
324,0.21374,1
7275,0,0
887,0.15814,1
1646,0,0
1063,0.1571,1
389,0,0
235,0.13519,1
1.5214e+005,0,0
454,0.16688,1
250,0,0
379,0.14051,1
1594,0,0
373,0.13245,1
8626,0,0
251,0.1351,1
224,0,0
2402,0.18452,1
2418,0,0
819,0.20842,1
137,0,0
366,0.10152,1
2790,0,0
166,0.16362,1
2911,0,0
172,0.14798,1
1224,0,0
246,0.10681,1
1301,0,0
2573,0.26531,1
70893,0,0
600,0.14066,1
2884,0,0
557,0.22386,1
6.7928e+005,0,0
349,0.16509,1
1624,0,0
371,0.14165,1
6.9116e+005,0,0
3114,0.17054,1
2902,0,0
401,0.19031,1
3097,0,0
2749,0.2363,1
2.4841e+005,0,0
2915,0.20858,1
2604,0,0
1016,0.17471,1
2331,0,0
2024,0.24772,1
1974,0,0
430,0.16865,1
7.6839e+005,0,0
379,0.14385,1
2851,0,0
420,0.17872,1
2.5657e+005,0,0
465,0.11282,1
494,0,0
674,0.12826,1
3152,0,0
686,0.15033,1
1393,0,0
634,0.13947,1
1.7144e+006,0,0
571,0.16517,1
1271,0,0
436,0.22629,1
87147,0,0
331,0.15444,1
3624,0,0
262,0.1328,1
148,0,0
149,0.20711,1
640,0,0
292,0.2534,1
77189,0,0
374,0.16789,1
1248,0,0
266,0.066293,1
292,0,0
228,0.17099,1
7108,0,0
864,0.15345,1
1240,0,0
1283,0.16508,1
82172,0,0
357,0.20803,1
853,0,0
349,0.13229,1
72060,0,0
282,0.19907,1
1934,0,0
468,0.12469,1
1762,0,0
354,0.12987,1
1.6042e+005,0,0
3176,0.17238,1
15823,0,0
531,0.15182,1
5599,0,0
387,0.2061,1
1634,0,0
3381,0.2127,1
59071,0,0
239,0.13219,1
141,0,0
274,0.16186,1
18935,0,0
307,0.17208,1
2132,0,0
226,0.22087,1
1590,0,0
370,0.1433,1
1.5648e+005,0,0
500,0.12173,1
926,0,0
665,0.13976,1
4833,0,0
709,0.17176,1
4759,0,0
407,0.12994,1
288,0,0
212,0.18272,1
65800,0,0
524,0.16764,1
5074,0,0
254,0.12692,1
3032,0,0
320,0.21834,1
9739,0,0
293,0.19549,1
2469,0,0
261,0.17985,1
66810,0,0
678,0.17386,1
1266,0,0
1108,0.15093,1
373,0,0
515,0.25828,1
1116,0,0
586,0.13312,1
5421,0,0
543,0.20702,1
355,0,0
641,0.14143,1
4114,0,0
1546,0.21635,1
983,0,0
404,0.12529,1
1.6359e+005,0,0
665,0.15011,1
2992,0,0
400,0.14142,1
657,0,0
634,0.16444,1
68713,0,0
836,0.11817,1
13969,0,0
790,0.21385,1
2738,0,0
388,0.15279,1
1783,0,0
381,0.12533,1
1.5106e+005,0,0
226,0.17159,1
83,0,0
1036,0.12471,1
3144,0,0
449,0.10292,1
4503,0,0
998,0.1092,1
2851,0,0
542,0.18686,1
14558,0,0
1247,0.11389,1
9459,0,0
957,0.19291,1
1.3697e+005,0,0
344,0.13934,1
4024,0,0
368,0.18981,1
2.7409e+005,0,0
275,0.15625,1
124,0,0
219,0.18626,1
353,0,0
397,0.12612,1
2.3941e+006,0,0
1122,0.15906,1
1789,0,0
388,0.085145,1
1991,0,0
859,0.24194,1
83336,0,0
1397,0.18919,1
9347,0,0
1195,0.2581,1
2411,0,0
618,0.14956,1
2.4453e+005,0,0
2792,0.2012,1
2988,0,0
262,0.13975,1
9356,0,0
504,0.15157,1
1279,0,0
510,0.17563,1
66639,0,0
3797,0.19972,1
75515,0,0
1047,0.13349,1
5931,0,0
1071,0.18661,1
16346,0,0
1913,0.16085,1
10053,0,0
197,0.20781,1
190,0,0
207,0.17961,1
48722,0,0
734,0.13727,1
